year,quarter,period_end,region_code,org_code,org_name,sector,available_beds,occupied_beds,occupancy_rate
2025-26,Q2,September,Y62,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,General & Acute,738.0,708.7717391304348,96.03953104748439
2025-26,Q2,September,Y62,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,General & Acute,799.0760869565217,777.4239130434783,97.29034890838604
2025-26,Q2,September,Y62,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,General & Acute,929.2717391304348,868.0978260869565,93.41700490098604
2025-26,Q2,September,Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,General & Acute,1099.3260869565217,933.3695652173913,84.90379481500524
2025-26,Q2,September,Y63,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,General & Acute,611.1086956521739,557.75,91.26854256340935
2025-26,Q2,September,Y63,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,General & Acute,843.8478260869565,798.2173913043479,94.59257541798696
2025-26,Q2,September,Y63,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,General & Acute,301.2391304347826,237.72826086956522,78.91679295662841
2025-26,Q2,September,Y63,RCF,AIREDALE NHS FOUNDATION TRUST,General & Acute,363.3152173913044,328.6847826086956,90.46821241585639
2025-26,Q2,September,Y63,RCU,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,General & Acute,132.19565217391303,82.25,62.21838513402401
2025-26,Q2,September,Y63,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,General & Acute,458.0,421.3478260869565,91.99734194038352
2025-26,Q2,September,Y63,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,General & Acute,471.3369565217391,406.95652173913044,86.34088969859096
2025-26,Q2,September,Y63,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,General & Acute,1378.5869565217392,1268.8804347826087,92.04210360324844
