year,quarter,period_end,region_code,org_code,org_name,available_total,occupied_total,occupancy_total,available_general_acute,occupied_general_acute,occupancy_general_acute,available_learning_disabilities,occupied_learning_disabilities,occupancy_learning_disabilities,available_maternity,occupied_maternity,occupancy_maternity,available_mental_illness,occupied_mental_illness,occupancy_mental_illness,occupancy_band,high_occupancy_92,high_occupancy_95
2025-26,Q1,June,Y62,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,776.021978021978,699.6373626373627,90.15690050695291,744.021978021978,677.4505494505495,91.05249165509703,0.0,0.0,,32.0,22.186813186813186,69.33379120879121,0.0,0.0,,85–91.9% Moderate-high occupancy,False,False
2025-26,Q1,June,Y62,RBN,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,1263.2857142857142,1213.3846153846155,96.04989604989606,1196.8131868131868,1174.923076923077,98.17096685336516,0.0,0.0,,66.47252747252747,38.46153846153846,57.86080343858488,0.0,0.0,,95%+ Very high occupancy,True,True
2025-26,Q1,June,Y62,RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,181.69230769230768,146.35164835164835,80.54917140437887,181.69230769230768,146.35164835164835,80.54917140437887,0.0,0.0,,0.0,0.0,,0.0,0.0,,Below 85%,False,False
2025-26,Q1,June,Y62,RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,213.0,148.87912087912088,69.89630088221638,203.0,144.0989010989011,70.98468034428626,0.0,0.0,,0.0,0.0,,10.0,4.78021978021978,47.802197802197796,Below 85%,False,False
2025-26,Q1,June,Y62,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,521.010989010989,460.54945054945057,88.39534295115162,494.010989010989,458.31868131868134,92.77499721944167,0.0,0.0,,27.0,2.230769230769231,8.262108262108264,0.0,0.0,,85–91.9% Moderate-high occupancy,False,False
2025-26,Q1,June,Y62,RBV,THE CHRISTIE NHS FOUNDATION TRUST,183.0989010989011,161.65934065934067,88.29072140199256,183.0989010989011,161.65934065934067,88.29072140199256,0.0,0.0,,0.0,0.0,,0.0,0.0,,85–91.9% Moderate-high occupancy,False,False
2025-26,Q1,June,Y62,REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1575.2857142857142,1507.6923076923076,95.70913352540268,1575.2857142857142,1507.6923076923076,95.70913352540268,0.0,0.0,,0.0,0.0,,0.0,0.0,,95%+ Very high occupancy,True,True
2025-26,Q1,June,Y62,REN,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,95.0,89.84615384615384,94.5748987854251,95.0,89.84615384615384,94.5748987854251,0.0,0.0,,0.0,0.0,,0.0,0.0,,92–94.9% High occupancy,True,False
2025-26,Q1,June,Y62,REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,109.98901098901099,73.1978021978022,66.55010490558497,23.153846153846153,13.461538461538462,58.139534883720934,0.0,0.0,,86.83516483516483,59.73626373626374,68.79271070615034,0.0,0.0,,Below 85%,False,False
2025-26,Q1,June,Y62,RET,THE WALTON CENTRE NHS FOUNDATION TRUST,143.24175824175825,143.24175824175825,100.0,143.24175824175825,143.24175824175825,100.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,95%+ Very high occupancy,True,True
2025-26,Q1,June,Y62,RJN,EAST CHESHIRE NHS TRUST,352.9230769230769,294.61538461538464,83.47863993025284,324.9230769230769,287.13186813186815,88.3691829004329,0.0,0.0,,28.0,7.483516483516484,26.726844583987443,0.0,0.0,,Below 85%,False,False
2025-26,Q1,June,Y62,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,540.4175824175824,464.02197802197804,85.86359754361708,499.4175824175824,447.6043956043956,89.62527779611416,0.0,0.0,,41.0,16.417582417582416,40.04288394532296,0.0,0.0,,85–91.9% Moderate-high occupancy,False,False
2025-26,Q1,June,Y62,RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,1589.967032967033,1456.6483516483515,91.61500342117812,1523.967032967033,1412.1868131868132,92.66518124328495,0.0,0.0,,66.0,44.46153846153846,67.36596736596736,0.0,0.0,,85–91.9% Moderate-high occupancy,False,False
2025-26,Q1,June,Y62,RMC,BOLTON NHS FOUNDATION TRUST,657.4725274725274,577.7032967032967,87.86729065686112,604.4725274725274,528.8241758241758,87.4852291526533,0.0,0.0,,53.0,48.879120879120876,92.22475637569977,0.0,0.0,,85–91.9% Moderate-high occupancy,False,False
2025-26,Q1,June,Y62,RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,497.2967032967033,437.989010989011,88.07398241039466,465.4175824175824,420.45054945054943,90.33834675229618,0.0,0.0,,31.87912087912088,17.53846153846154,55.01551189245089,0.0,0.0,,85–91.9% Moderate-high occupancy,False,False
2025-26,Q1,June,Y62,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",563.8241758241758,493.64835164835165,87.553597879473,535.5164835164835,483.85714285714283,90.35336124107363,0.0,0.0,,28.307692307692307,9.791208791208792,34.588509316770185,0.0,0.0,,85–91.9% Moderate-high occupancy,False,False
2025-26,Q1,June,Y62,RT2,PENNINE CARE NHS FOUNDATION TRUST,490.0,463.0659340659341,94.50325185019062,0.0,0.0,,0.0,0.0,,0.0,0.0,,490.0,463.0659340659341,94.50325185019062,92–94.9% High occupancy,True,False
2025-26,Q1,June,Y62,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,627.4065934065934,559.9230769230769,89.24405366588432,589.5164835164835,539.2307692307693,91.47000708347315,0.0,0.0,,37.89010989010989,20.692307692307693,54.611368909512755,0.0,0.0,,85–91.9% Moderate-high occupancy,False,False
2025-26,Q1,June,Y62,RW4,MERSEY CARE NHS FOUNDATION TRUST,1126.868131868132,828.6813186813187,73.53844653566726,0.0,0.0,,109.61538461538461,46.637362637362635,42.54636591478697,0.0,0.0,,1017.2527472527472,782.0439560439561,76.8780382413309,Below 85%,False,False
2025-26,Q1,June,Y62,RW5,LANCASHIRE & SOUTH CUMBRIA NHS FOUNDATION TRUST,600.2307692307693,561.978021978022,93.6269932809725,0.0,0.0,,0.0,0.0,,0.0,0.0,,600.2307692307693,561.978021978022,93.6269932809725,92–94.9% High occupancy,True,False
2025-26,Q1,June,Y62,RWJ,STOCKPORT NHS FOUNDATION TRUST,683.7802197802198,599.0879120879121,87.61410388274619,636.5934065934066,582.021978021978,91.4275850163991,0.0,0.0,,47.18681318681319,17.065934065934066,36.16674429436423,0.0,0.0,,85–91.9% Moderate-high occupancy,False,False
2025-26,Q1,June,Y62,RWW,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,611.0879120879121,552.2637362637363,90.37386034634682,570.5824175824176,532.5494505494505,93.33436049534886,0.0,0.0,,40.505494505494504,19.714285714285715,48.6706456863809,0.0,0.0,,85–91.9% Moderate-high occupancy,False,False
2025-26,Q1,June,Y62,RXA,CHESHIRE AND WIRRAL PARTNERSHIP NHS FOUNDATION TRUST,285.35164835164835,255.65934065934067,89.59448530827589,0.0,0.0,,29.65934065934066,14.285714285714286,48.165987402741756,0.0,0.0,,255.69230769230768,241.37362637362637,94.40003438198384,85–91.9% Moderate-high occupancy,False,False
2025-26,Q1,June,Y62,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,771.4065934065934,735.989010989011,95.40870110259551,738.0,716.7582417582418,97.12171297537151,0.0,0.0,,33.40659340659341,19.23076923076923,57.565789473684205,0.0,0.0,,95%+ Very high occupancy,True,True
2025-26,Q1,June,Y62,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,872.6043956043956,810.5494505494505,92.88853627513947,810.6043956043956,776.3956043956044,95.77984138819224,0.0,0.0,,62.0,34.15384615384615,55.08684863523573,0.0,0.0,,92–94.9% High occupancy,True,False
2025-26,Q1,June,Y62,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,1010.021978021978,945.0,93.56232048045958,938.021978021978,898.2857142857143,95.76382380506092,0.0,0.0,,72.0,46.714285714285715,64.88095238095238,0.0,0.0,,92–94.9% High occupancy,True,False
2025-26,Q1,June,Y62,RXV,GREATER MANCHESTER MENTAL HEALTH NHS FOUNDATION TRUST,777.3846153846154,690.7692307692307,88.85810409657628,0.0,0.0,,0.0,0.0,,0.0,0.0,,777.3846153846154,690.7692307692307,88.85810409657628,85–91.9% Moderate-high occupancy,False,False
2025-26,Q1,June,Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,1111.5054945054944,964.2197802197802,86.74898909507944,1111.5054945054944,964.2197802197802,86.74898909507944,0.0,0.0,,0.0,0.0,,0.0,0.0,,85–91.9% Moderate-high occupancy,False,False
2025-26,Q1,June,Y63,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,698.0989010989011,632.5494505494505,90.61029168699922,613.5604395604396,555.967032967033,90.61324640899811,0.0,0.0,,84.53846153846153,76.58241758241758,90.58884700376966,0.0,0.0,,85–91.9% Moderate-high occupancy,False,False
2025-26,Q1,June,Y63,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,899.2307692307693,829.934065934066,92.29377978736404,832.4175824175824,811.2417582417582,97.45610561056107,0.0,0.0,,66.81318681318682,18.692307692307693,27.976973684210527,0.0,0.0,,92–94.9% High occupancy,True,False
2025-26,Q1,June,Y63,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,304.02197802197804,280.05494505494505,92.11667751030144,277.2967032967033,267.5054945054945,96.46904969485614,0.0,0.0,,26.725274725274726,12.54945054945055,46.95723684210526,0.0,0.0,,92–94.9% High occupancy,True,False
2025-26,Q1,June,Y63,RCF,AIREDALE NHS FOUNDATION TRUST,386.7692307692308,345.2307692307692,89.26014319809069,358.0879120879121,329.8791208791209,92.12238384582335,0.0,0.0,,28.681318681318682,15.351648351648352,53.524904214559385,0.0,0.0,,85–91.9% Moderate-high occupancy,False,False
